,Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Total Annual Memberships Sold
0,1/1/2014,6559,6323722,9.254,"11,243,581",95971.0,29,268,10,
1,1/2/2014,9334,6333056,11.735999999999999,"11,255,317",96000.0,42,66,3,
2,1/3/2014,1288,6334344,1.855,"11,257,172",96042.0,23,1,1,
3,1/4/2014,2494,6336838,3.7060000000000004,"11,260,878",96065.0,19,14,1,
4,1/5/2014,2937,6339775,3.72,"11,264,598",96084.0,18,17,4,
5,1/6/2014,10481,6350256,13.015999999999998,"11,277,613",96102.0,22,30,7,
6,1/7/2014,7144,6357400,8.2,"11,285,814",96124.0,28,5,4,
7,1/8/2014,10162,6367562,11.767999999999999,"11,297,582",96152.0,19,28,4,
8,1/9/2014,14571,6382133,18.401,"11,315,983",96171.0,18,74,10,
9,1/10/2014,10685,6392818,13.433,"11,329,416",96189.0,36,49,5,
10,1/11/2014,8333,6401151,10.735,"11,340,151",96225.0,22,101,16,
11,1/12/2014,13549,6414700,19.141,"11,359,291",96247.0,29,350,22,
12,1/13/2014,22377,6437077,30.829,"11,390,121",96276.0,72,224,31,
13,1/14/2014,10849,6447926,13.270999999999999,"11,403,392",96348.0,43,45,4,
14,1/15/2014,23500,6471426,32.303000000000004,"11,435,695",96391.0,62,241,30,
15,1/16/2014,21528,6492954,28.807,"11,464,502",96453.0,56,208,37,
16,1/17/2014,21840,6514794,30.773000000000003,"11,495,275",96509.0,67,282,34,
17,1/18/2014,10222,6525016,14.595999999999998,"11,509,870",96576.0,40,176,15,
18,1/19/2014,9768,6534784,13.591,"11,523,461",96616.0,38,194,13,
19,1/20/2014,14581,6549365,20.102999999999998,"11,543,564",96654.0,47,133,11,
20,1/21/2014,4171,6553536,5.428999999999999,"11,548,993",96701.0,32,5,1,
21,1/22/2014,2762,6556298,4.061,"11,553,054",96733.0,8,4,3,
22,1/23/2014,5743,6562041,8.336,"11,561,390",96741.0,16,9,1,
23,1/24/2014,6901,6568942,9.375,"11,570,765",96757.0,13,15,6,
24,1/25/2014,4716,6573658,6.004,"11,576,770",96770.0,14,34,0,
25,1/26/2014,5462,6579120,6.691,"11,583,461",96784.0,20,37,6,
26,1/27/2014,14304,6593424,18.127,"11,601,588",96804.0,26,55,18,
27,1/28/2014,11066,6604490,13.722000000000001,"11,615,310",96830.0,22,18,7,
28,1/29/2014,10838,6615328,13.394,"11,628,704",96852.0,33,21,6,
29,1/30/2014,13198,6628526,16.914,"11,645,618",96885.0,27,42,7,
30,1/31/2014,15886,6644412,21.541,"11,667,159",96912.0,23,130,10,
31,2/1/2014,13797,6658209,20.706999999999997,"11,687,866",96935.0,23,349,29,
32,2/2/2014,15009,6673218,22.915,"11,710,781",96958.0,40,449,10,
